Reporting Area,MMWR YEAR,MMWR WEEK,"All causes, by age (years), All Ages","All causes, by age (years), All Ages, flag","All causes, by age (years), GE 65","All causes, by age (years), GE 65, flag","All causes, by age (years), 45–64","All causes, by age (years), 45–64, flag","All causes, by age (years), 25–44","All causes, by age (years), 25–44, flag","All causes, by age (years), 1–24","All causes, by age (years), 1–24, flag","All causes, by age (years), LT 1","All causes, by age (years), LT 1, flag",P&I† Total,"P&I† Total, flag",Location 1,Location 2
"Des Moines, IA",2014,48,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA
(41.589761626000495, -93.61564652299967)",
"Evansville, IN",2014,48,37,,27,,6,,4,,,-,,-,2,,"Evansville, IN
(37.977082544000496, -87.56404663099966)",
"Springfield, MA",2014,48,25,,13,,7,,4,,,-,1,,,-,"Springfield, MA
(42.10125212200046, -72.58928991799962)",
"Baltimore, MD",2014,48,131,,69,,43,,13,,3,,3,,9,,"Baltimore, MD
(39.29058224000045, -76.60925970899967)",
"Albany, NY",2014,48,40,,35,,3,,,-,1,,1,,1,,"Albany, NY
(42.65155347600046, -73.75520562899965)",
"Chattanooga, TN",2014,48,71,,50,,17,,2,,1,,1,,3,,"Chattanooga, TN
(35.04644289300046, -85.30945730199966)",
"Boise, ID",2014,48,52,,36,,11,,4,,1,,,-,2,,"Boise, ID
(43.60698392100045, -116.1934057949997)",
"Allentown, PA",2014,48,38,,30,,4,,4,,,-,,-,1,,"Allentown, PA
(40.602603640000495, -75.47025702899964)",
"Cambridge, MA",2014,48,16,,12,,4,,,-,,-,,-,2,,"Cambridge, MA
(42.366791640000486, -71.10600946299962)",
"Cincinnati, OH",2014,48,74,,41,,19,,7,,5,,2,,5,,"Cincinnati, OH
(39.1071305910005, -84.50412975199964)",
"Somerville, MA",2014,48,2,,2,,,-,,-,,-,,-,,-,"Somerville, MA
(42.386683880000476, -71.09825622299962)",
"Syracuse, NY",2014,48,78,,60,,13,,3,,1,,1,,4,,"Syracuse, NY
(43.0499922730005, -76.14738815999965)",
New England,2014,49,656,,446,,148,,43,,8,,11,,43,,,
Mid. Atlantic,2014,49,1844,,1326,,372,,89,,32,,25,,71,,,
E.N. Central,2014,49,2246,,1539,,501,,121,,41,,44,,135,,,
W.N. Central,2014,49,770,,511,,178,,44,,16,,21,,53,,,
S. Atlantic,2014,49,1237,,816,,296,,68,,36,,21,,81,,,
E.S. Central,2014,49,1056,,693,,252,,67,,23,,21,,85,,,
W.S. Central,2014,49,1905,,1246,,449,,126,,51,,33,,99,,,
Mountain,2014,49,1467,,1018,,320,,90,,28,,11,,75,,,
Pacific,2014,49,2080,,1500,,417,,104,,38,,21,,152,,,
Total¶,2014,49,13261,,9095,,2933,,752,,273,,208,,794,,,
"Tulsa, OK",2014,49,148,,101,,34,,8,,3,,2,,18,,"Tulsa, OK
(36.14974003800006, -95.99332826799997)",
"Knoxville, TN",2014,49,114,,75,,25,,9,,3,,2,,14,,"Knoxville, TN
(35.96049358600004, -83.92090907799997)",
"Milwaukee, WI",2014,49,100,,67,,24,,6,,1,,2,,4,,"Milwaukee, WI
(43.041813244000025, -87.90683911599996)",
"Atlanta, GA",2014,49,169,,106,,44,,12,,7,,,-,9,,"Atlanta, GA
(33.748313352000025, -84.39110879899994)",
"Miami, FL",2014,49,60,,50,,6,,1,,3,,,-,2,,"Miami, FL
(25.77481279700004, -80.19772698599996)",
"Waterbury, CT",2014,49,29,,22,,4,,3,,,-,,-,2,,"Waterbury, CT
(41.55407152200007, -73.04616901099996)",
"Berkeley, CA",2014,49,12,,8,,1,,1,,,-,2,,,-,"Berkeley, CA
(37.86988305400007, -122.270536876)",
"Houston, TX",2014,49,414,,252,,116,,29,,12,,5,,20,,"Houston, TX
(29.76045386100003, -95.36977703499997)",
"Pasadena, CA",2014,49,39,,29,,9,,1,,,-,,-,2,,"Pasadena, CA
(34.14745229300007, -118.14426802199995)",
"Chattanooga, TN",2014,49,119,,84,,25,,8,,2,,,-,14,,"Chattanooga, TN
(35.04644407100005, -85.30945734899996)",
"Baton Rouge, LA",2014,49,128,,86,,28,,9,,2,,3,,2,,"Baton Rouge, LA
(30.44334244500004, -91.18698943099997)",
"San Jose, CA",2014,49,238,,180,,40,,10,,4,,4,,17,,"San Jose, CA
(37.33858102100004, -121.88556652299997)",
"Duluth, MN",2014,49,39,,30,,7,,1,,,-,1,,1,,"Duluth, MN
(46.78795760700007, -92.09984748699998)",
"Denver, CO",2014,49,68,,51,,12,,3,,1,,1,,4,,"Denver, CO
(39.740012153000066, -104.99229758699994)",
"St. Petersburg, FL",2014,49,68,,55,,11,,1,,1,,,-,7,,"St. Petersburg, FL
(27.77119214700008, -82.63875636399996)",
"San Francisco, CA",2014,49,135,,103,,24,,5,,1,,2,,10,,"San Francisco, CA
(37.77712259500004, -122.419638255)",
"Peoria, IL",2014,49,56,,46,,7,,2,,1,,,-,3,,"Peoria, IL
(40.69214391500003, -89.58775732799995)",
"Toledo, OH",2014,49,67,,46,,16,,3,,,-,2,,4,,"Toledo, OH
(41.65381179900004, -83.53625881799996)",
"El Paso, TX",2014,49,118,,87,,20,,7,,3,,1,,2,,"El Paso, TX
(31.759162782000033, -106.48748593099998)",
"Long Beach, CA",2014,49,77,,53,,15,,3,,6,,,-,6,,"Long Beach, CA
(33.76672318000004, -118.19239765199995)",
"Wilmington, DE",2014,49,12,,9,,3,,,-,,-,,-,1,,"Wilmington, DE
(39.74023444000005, -75.55083922099999)",
"Honolulu, HI",2014,49,92,,63,,26,,3,,,-,,-,9,,"Honolulu, HI
(21.30485232600006, -157.85774798099996)",
"Dayton, OH",2014,49,165,,120,,33,,11,,1,,,-,10,,"Dayton, OH
(39.75911107100006, -84.19443795399997)",
"Indianapolis, IN",2014,49,215,,145,,46,,15,,4,,5,,20,,"Indianapolis, IN
(39.766913353000064, -86.14995646699998)",
"Evansville, IN",2014,49,44,,34,,7,,2,,1,,,-,6,,"Evansville, IN
(37.97708329200003, -87.56404998599999)",
"Columbus, OH",2014,49,236,,148,,63,,12,,3,,10,,13,,"Columbus, OH
(39.961992622000025, -83.00274724899998)",
"Utica, NY",2014,49,15,,11,,4,,,-,,-,,-,2,,"Utica, NY
(43.095891280000046, -75.24257574399996)",
"Allentown, PA",2014,49,31,,23,,7,,1,,,-,,-,,-,"Allentown, PA
(40.60260217500007, -75.47025565699994)",
"Nashville, TN",2014,49,203,,125,,57,,10,,4,,7,,14,,"Nashville, TN
(36.167843110000035, -86.77815794799994)",
"Cleveland, OH",2014,49,277,,209,,56,,7,,2,,3,,11,,"Cleveland, OH
(41.50475043200004, -81.69071913199997)",
"Camden, NJ",2014,49,25,,10,,8,,4,,2,,1,,3,,"Camden, NJ
(39.94525439300003, -75.11912630999996)",
"Mobile, AL",2014,49,96,,61,,27,,6,,1,,1,,2,,"Mobile, AL
(30.686391297000057, -88.05323748199999)",
"Detroit, MI",2014,49,201,,109,,62,,20,,1,,9,,16,,"Detroit, MI
(42.33168113800008, -83.04799603699996)",
"Savannah, GA",2014,49,80,,51,,18,,6,,4,,1,,8,,"Savannah, GA
(32.08091020300003, -81.09118825799999)",
"Cincinnati, OH",2014,49,101,,71,,20,,3,,6,,1,,5,,"Cincinnati, OH
(39.10713374900007, -84.50412851599998)",
"Schenectady, NY",2014,49,30,,27,,2,,1,,,-,,-,3,,"Schenectady, NY
(42.81225278100004, -73.94101735499999)",
"Spokane, WA",2014,49,88,,69,,17,,1,,1,,,-,7,,"Spokane, WA
(47.65725625700003, -117.41227618999994)",
"Shreveport, LA",2014,49,93,,59,,25,,5,,,-,4,,2,,"Shreveport, LA
(32.51461036200004, -93.74726701399999)",
"Youngstown, OH",2014,49,91,,67,,18,,2,,4,,,-,1,,"Youngstown, OH
(41.09810262800005, -80.65078836199996)",
"Kansas City, MO",2014,49,138,,92,,33,,8,,2,,3,,8,,"Kansas City, MO
(39.10295030300006, -94.58307587199994)",
"St. Paul, MN",2014,49,74,,53,,18,,2,,,-,1,,6,,"St. Paul, MN
(44.94382277600005, -93.09331578099994)",
"Dallas, TX",2014,49,282,,181,,59,,21,,15,,6,,14,,"Dallas, TX
(32.77815409600004, -96.79539836999999)",
"Fort Wayne, IN",2014,49,83,,60,,19,,2,,1,,1,,3,,"Fort Wayne, IN
(41.08026185600005, -85.13830952299998)",
"Elizabeth, NJ",2014,49,15,,10,,2,,2,,1,,,-,1,,"Elizabeth, NJ
(40.66381118600003, -74.21143865599998)",
"Yonkers, NY",2014,49,25,,21,,2,,1,,1,,,-,1,,"Yonkers, NY
(40.932992123000076, -73.89873832499995)",
"Lansing, MI",2014,49,75,,50,,18,,5,,1,,1,,3,,"Lansing, MI
(42.731940407000025, -84.55224925399995)",
"Chicago, IL",2014,49,243,,160,,56,,16,,8,,3,,18,,"Chicago, IL
(41.884252520000075, -87.63244776499994)",
"Tampa, FL",2014,49,137,,83,,39,,4,,3,,8,,7,,"Tampa, FL
(27.946532310000066, -82.45926832099997)",
"Jersey City, NJ",2014,49,18,,13,,5,,,-,,-,,-,2,,"Jersey City, NJ
(40.717480213000044, -74.04384742499997)",
"Boise, ID",2014,49,68,,49,,13,,5,,1,,,-,7,,"Boise, ID
(43.60698295900005, -116.19340864899999)",
"Providence, RI",2014,49,84,,59,,22,,,-,,-,3,,5,,"Providence, RI
(41.82387041800007, -71.41198890999993)",
"Colorado Springs, CO",2014,49,100,,68,,28,,4,,,-,,-,1,,"Colorado Springs, CO
(38.83343148900008, -104.82180773099998)",
"Lowell, MA",2014,49,40,,32,,7,,1,,,-,,-,3,,"Lowell, MA
(42.64588413000007, -71.31283991599997)",
"Rockford, IL",2014,49,78,,63,,12,,2,,,-,1,,5,,"Rockford, IL
(42.26690219500006, -89.07834613999995)",
"Glendale, CA",2014,49,35,,32,,2,,,-,1,,,-,4,,"Glendale, CA
(34.14633196600005, -118.24863631999995)",
"Newark, NJ",2014,49,49,,18,,22,,4,,2,,3,,2,,"Newark, NJ
(40.731973340000025, -74.17420999099994)",
"Charlotte, NC",2014,49,147,,100,,31,,7,,6,,3,,11,,"Charlotte, NC
(35.22286010500005, -80.83795865099995)",
"Richmond, VA",2014,49,60,,31,,20,,6,,2,,1,,1,,"Richmond, VA
(37.54070234900007, -77.43364758299998)",
"Minneapolis, MN",2014,49,78,,45,,25,,4,,2,,2,,5,,"Minneapolis, MN
(44.97903307300004, -93.26492596499997)",
"Grand Rapids, MI",2014,49,37,,26,,7,,2,,,-,2,,2,,"Grand Rapids, MI
(42.96641341700007, -85.67117645899998)",
"Norfolk, VA",2014,49,51,,38,,8,,4,,,-,1,,7,,"Norfolk, VA
(36.84682388400006, -76.28505837099993)",
"Gary, IN",2014,49,11,,5,,2,,1,,2,,1,,1,,"Gary, IN
(41.60371270500008, -87.33716586099996)",
"Canton, OH",2014,49,43,,24,,15,,2,,1,,1,,5,,"Canton, OH
(40.797810370000036, -81.37156802599998)",
"Lincoln, NC",2014,49,62,,48,,10,,1,,2,,1,,6,,"Lincoln, NC
(35.485781434000046, -81.23088244099995)",
"Austin, TX",2014,49,117,,81,,23,,6,,3,,4,,8,,"Austin, TX
(30.267593273000045, -97.74298658099997)",
"Pueblo, CO",2014,49,42,,27,,11,,2,,2,,,-,1,,"Pueblo, CO
(38.263860486000056, -104.61236870699997)",
"Albany, NY",2014,49,58,,42,,12,,,-,3,,1,,3,,"Albany, NY
(42.65155245500006, -73.75520746399997)",
"Scranton, PA",2014,49,38,,34,,3,,1,,,-,,-,,-,"Scranton, PA
(41.41015388100004, -75.66077803699994)",
"Worcester, MA",2014,49,78,,53,,14,,5,,1,,5,,12,,"Worcester, MA
(42.26341228500007, -71.80218745899998)",
"San Diego, CA",2014,49,198,,151,,35,,9,,,-,3,,15,,"San Diego, CA
(32.71569138500007, -117.16171847599998)",
"Boston, MA",2014,49,146,,93,,34,,15,,4,,,-,8,,"Boston, MA
(42.35866236100003, -71.05673835899995)",
"Cambridge, MA",2014,49,19,,15,,3,,1,,,-,,-,3,,"Cambridge, MA
(42.36679362800004, -71.10600609899996)",
"New Bedford, MA",2014,49,38,,29,,7,,2,,,-,,-,,-,"New Bedford, MA
(41.637673747000065, -70.93086599499998)",
"Buffalo, NY",2014,49,101,,65,,23,,6,,3,,4,,5,,"Buffalo, NY
(42.88544307300003, -78.87845675099999)",
"Somerville, MA",2014,49,4,,3,,,-,1,,,-,,-,,-,"Somerville, MA
(42.38668388900004, -71.09825716599994)",
"Seattle, WA",2014,49,137,,91,,29,,12,,4,,1,,2,,"Seattle, WA
(47.60356944700004, -122.32944743699994)",
"Wichita, KS",2014,49,119,,82,,25,,4,,3,,5,,11,,"Wichita, KS
(37.68698068000003, -97.33557855599997)",
"New Haven, CT",2014,49,39,,24,,11,,2,,1,,1,,1,,"New Haven, CT
(41.307621675000064, -72.92461790999994)",
"Santa Cruz, CA",2014,49,43,,26,,14,,2,,1,,,-,4,,"Santa Cruz, CA
(36.97402108000006, -122.03094681399995)",
"Tacoma, WA",2014,49,144,,99,,31,,6,,4,,4,,15,,"Tacoma, WA
(47.25512977600005, -122.44163579899998)",
"Las Vegas, NV",2014,49,351,,237,,80,,24,,9,,1,,24,,"Las Vegas, NV
(36.17191096600004, -115.13996726099998)",
"Lynn, MA",2014,49,10,,4,,4,,2,,,-,,-,,-,"Lynn, MA
(42.46370196700008, -70.95021831999998)",
"Sacramento, CA",2014,49,246,,171,,56,,13,,4,,2,,15,,"Sacramento, CA
(38.57933051600003, -121.49089555499995)",
"Akron, OH",2014,49,50,,32,,8,,6,,4,,,-,1,,"Akron, OH
(41.08419189400007, -81.51405858299995)",
"Des Moines, IA",2014,49,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA
(41.589761958000054, -93.61564630299995)",
"Fall River, MA",2014,49,32,,23,,7,,2,,,-,,-,1,,"Fall River, MA
(41.69735342100006, -71.14364821799995)",
"Memphis, TN",2014,49,183,,116,,46,,14,,5,,2,,16,,"Memphis, TN
(35.14976317400004, -90.04924783599995)",
"Portland, OR",2014,49,107,,78,,21,,6,,1,,1,,9,,"Portland, OR
(45.51178886500003, -122.67562866899999)",
"South Bend, IN",2014,49,73,,57,,12,,2,,,-,2,,4,,"South Bend, IN
(41.67905029100007, -86.25403579099998)",
"Springfield, MA",2014,49,40,,30,,7,,2,,1,,,-,,-,"Springfield, MA
(42.10125375500007, -72.58928873999997)",
"Rochester, NY",2014,49,202,,147,,38,,13,,3,,1,,12,,"Rochester, NY
(43.155802133000066, -77.61631877899998)",
"Hartford, CT",2014,49,59,,38,,16,,3,,1,,1,,6,,"Hartford, CT
(41.763492762000055, -72.67401573899997)",
"Kansas City, KS",2014,49,32,,17,,7,,6,,1,,1,,3,,"Kansas City, KS
(39.113522284000055, -94.62681755199998)",
"Syracuse, NY",2014,49,82,,61,,15,,3,,2,,1,,3,,"Syracuse, NY
(43.04999341400003, -76.14738700099997)",
"St. Louis, MO",2014,49,112,,58,,34,,13,,4,,3,,4,,"St. Louis, MO
(38.627753565000035, -90.19955845799996)",
"Trenton, NJ",2014,49,23,,13,,6,,2,,1,,1,,,-,"Trenton, NJ
(40.217880783000055, -74.75939889399996)",
"Philadelphia, PA",2014,49,,U,,U,,U,,U,,U,,U,,U,"Philadelphia, PA
(39.95228311600005, -75.16244564499993)",
"New Orleans, LA",2014,49,94,,63,,20,,6,,4,,1,,2,,"New Orleans, LA
(29.95370148300003, -90.07774950399994)",
"Corpus Christi, TX",2014,49,79,,57,,13,,6,,1,,2,,11,,"Corpus Christi, TX
(27.796412856000074, -97.40355843499998)",
"Pittsburgh, PA§",2014,49,62,,49,,9,,2,,1,,1,,6,,"Pittsburgh, PA
(40.43834080700003, -79.99746842499997)",
"New York City, NY",2014,49,925,,682,,182,,40,,9,,12,,20,,"New York City, NY
(40.71455046700004, -74.00711668399998)",
"Bridgeport, CT",2014,49,38,,21,,12,,4,,,-,1,,2,,"Bridgeport, CT
(41.18188268400007, -73.19126921999998)",
"Fresno, CA",2014,49,182,,120,,44,,14,,3,,1,,14,,"Fresno, CA
(36.74068173400008, -119.78572580599996)",
"Little Rock, AR",2014,49,81,,46,,19,,10,,3,,3,,7,,"Little Rock, AR
(34.74865032200006, -92.27448966799994)",
"San Antonio, TX",2014,49,351,,233,,92,,19,,5,,2,,13,,"San Antonio, TX
(29.424582310000062, -98.49460637499999)",
"Ogden, UT",2014,49,56,,43,,9,,3,,1,,,-,3,,"Ogden, UT
(41.22236118700005, -111.97047597199997)",
"Washington, D.C.",2014,49,118,,75,,33,,7,,,-,3,,7,,"Washington, D.C.
(38.89037258400003, -77.03195678499998)",
"Omaha, NE",2014,49,116,,86,,19,,5,,2,,4,,9,,"Omaha, NE
(41.260692396000024, -95.94058840099996)",
"Phoenix, AZ",2014,49,216,,151,,44,,15,,2,,4,,12,,"Phoenix, AZ
(33.44825227300004, -112.075795659)",
"Baltimore, MD",2014,49,151,,92,,43,,8,,5,,3,,8,,"Baltimore, MD
(39.290582950000044, -76.60925984299996)",
"Salt Lake City, UT",2014,49,166,,107,,38,,14,,5,,2,,10,,"Salt Lake City, UT
(40.65968998000005, -111.91300138699995)",
"Albuquerque, NM",2014,49,168,,109,,40,,11,,7,,1,,8,,"Albuquerque, NM
(35.084232900000075, -106.64904873199998)",
"Los Angeles, CA",2014,49,307,,227,,53,,18,,8,,1,,23,,"Los Angeles, CA
(34.05349148300007, -118.24531979399995)",
"Lexington, KY",2014,49,94,,60,,19,,8,,3,,4,,2,,"Lexington, KY
(38.04859309200003, -84.50031851299997)",
"Tucson, AZ",2014,49,232,,176,,45,,9,,,-,2,,5,,"Tucson, AZ
(32.22155133000007, -110.96975666799995)",
"Montgomery, AL",2014,49,59,,47,,7,,3,,1,,1,,4,,"Montgomery, AL
(32.38012214500003, -86.30062719399996)",
"Reading, PA",2014,49,43,,27,,12,,4,,,-,,-,2,,"Reading, PA
(40.33662217300008, -75.92783835499995)",
"Birmingham, AL",2014,49,188,,125,,46,,9,,4,,4,,19,,"Birmingham, AL
(33.52068234200004, -86.81175888499996)",
"Erie, PA",2014,49,79,,61,,11,,4,,3,,,-,6,,"Erie, PA
(42.12944422100003, -80.08523631299994)",
"Fort Worth, TX",2014,49,,U,,U,,U,,U,,U,,U,,U,"Fort Worth, TX
(32.750950585000055, -97.33085717499995)",
"Paterson, NJ",2014,49,23,,12,,9,,1,,1,,,-,,-,"Paterson, NJ
(40.91661400100003, -74.17163590499996)",
"Jacksonville, FL",2014,49,184,,126,,40,,12,,5,,1,,13,,"Jacksonville, FL
(30.33147417600003, -81.65621570899998)",
New England,2014,50,573,,415,,119,,28,,8,,3,,48,,,
Mid. Atlantic,2014,50,1876,,1362,,392,,76,,27,,16,,81,,,
E.N. Central,2014,50,2294,,1613,,492,,123,,36,,30,,152,,,
W.N. Central,2014,50,663,,454,,139,,43,,12,,12,,44,,,
S. Atlantic,2014,50,1133,,758,,263,,71,,16,,25,,64,,,
E.S. Central,2014,50,1059,,685,,269,,78,,11,,16,,65,,,
W.S. Central,2014,50,1505,,996,,347,,96,,38,,27,,65,,,
Mountain,2014,50,1339,,918,,292,,76,,30,,22,,71,,,
Pacific,2014,50,1904,,1335,,411,,103,,33,,22,,148,,,
Total¶,2014,50,12346,,8536,,2724,,694,,211,,173,,738,,,
"Gary, IN",2014,50,16,,11,,5,,,-,,-,,-,1,,"Gary, IN
(41.60371270500008, -87.33716586099996)",
"San Antonio, TX",2014,50,331,,222,,77,,26,,4,,1,,12,,"San Antonio, TX
(29.424582310000062, -98.49460637499999)",
"Nashville, TN",2014,50,196,,135,,43,,12,,1,,5,,11,,"Nashville, TN
(36.167843110000035, -86.77815794799994)",
"New York City, NY",2014,50,1089,,783,,227,,48,,16,,12,,37,,"New York City, NY
(40.71455046700004, -74.00711668399998)",
"Detroit, MI",2014,50,168,,102,,49,,10,,5,,2,,12,,"Detroit, MI
(42.33168113800008, -83.04799603699996)",
"Erie, PA",2014,50,55,,43,,9,,1,,1,,1,,4,,"Erie, PA
(42.12944422100003, -80.08523631299994)",
"Camden, NJ",2014,50,16,,10,,5,,,-,,-,1,,,-,"Camden, NJ
(39.94525439300003, -75.11912630999996)",
"Lexington, KY",2014,50,66,,37,,20,,7,,1,,1,,,-,"Lexington, KY
(38.04859309200003, -84.50031851299997)",
"Milwaukee, WI",2014,50,100,,61,,25,,9,,1,,4,,5,,"Milwaukee, WI
(43.041813244000025, -87.90683911599996)",
"Indianapolis, IN",2014,50,197,,135,,46,,9,,3,,4,,21,,"Indianapolis, IN
(39.766913353000064, -86.14995646699998)",
"Providence, RI",2014,50,68,,49,,17,,1,,1,,,-,7,,"Providence, RI
(41.82387041800007, -71.41198890999993)",
"Boston, MA",2014,50,141,,98,,31,,7,,3,,2,,9,,"Boston, MA
(42.35866236100003, -71.05673835899995)",
"Des Moines, IA",2014,50,,-,,-,,-,,-,,-,,-,,-,"Des Moines, IA
(41.589761958000054, -93.61564630299995)",
"New Haven, CT",2014,50,31,,23,,5,,3,,,-,,-,3,,"New Haven, CT
(41.307621675000064, -72.92461790999994)",
"St. Louis, MO",2014,50,86,,48,,26,,8,,2,,2,,2,,"St. Louis, MO
(38.627753565000035, -90.19955845799996)",
"Evansville, IN",2014,50,48,,33,,12,,2,,1,,,-,3,,"Evansville, IN
(37.97708329200003, -87.56404998599999)",
"Honolulu, HI",2014,50,90,,70,,11,,7,,,-,2,,10,,"Honolulu, HI
(21.30485232600006, -157.85774798099996)",
"Chattanooga, TN",2014,50,97,,61,,28,,6,,2,,,-,7,,"Chattanooga, TN
(35.04644407100005, -85.30945734899996)",
"Spokane, WA",2014,50,73,,50,,18,,3,,1,,1,,4,,"Spokane, WA
(47.65725625700003, -117.41227618999994)",
"Grand Rapids, MI",2014,50,72,,48,,16,,7,,1,,,-,4,,"Grand Rapids, MI
(42.96641341700007, -85.67117645899998)",
"Hartford, CT",2014,50,54,,38,,14,,2,,,-,,-,6,,"Hartford, CT
(41.763492762000055, -72.67401573899997)",
"Waterbury, CT",2014,50,29,,22,,6,,1,,,-,,-,,-,"Waterbury, CT
(41.55407152200007, -73.04616901099996)",
"Ogden, UT",2014,50,42,,28,,9,,3,,1,,1,,4,,"Ogden, UT
(41.22236118700005, -111.97047597199997)",
"Dayton, OH",2014,50,136,,99,,29,,6,,2,,,-,11,,"Dayton, OH
(39.75911107100006, -84.19443795399997)",
"Worcester, MA",2014,50,74,,50,,20,,3,,,-,1,,8,,"Worcester, MA
(42.26341228500007, -71.80218745899998)",
"Buffalo, NY",2014,50,97,,68,,25,,2,,,-,2,,6,,"Buffalo, NY
(42.88544307300003, -78.87845675099999)",
"Dallas, TX",2014,50,223,,139,,57,,15,,5,,7,,14,,"Dallas, TX
(32.77815409600004, -96.79539836999999)",
"Norfolk, VA",2014,50,54,,45,,7,,1,,,-,1,,3,,"Norfolk, VA
(36.84682388400006, -76.28505837099993)",
"Mobile, AL",2014,50,91,,66,,16,,6,,3,,,-,8,,"Mobile, AL
(30.686391297000057, -88.05323748199999)",
"Jacksonville, FL",2014,50,148,,98,,30,,12,,4,,4,,7,,"Jacksonville, FL
(30.33147417600003, -81.65621570899998)",
"San Jose, CA",2014,50,217,,164,,39,,8,,3,,3,,17,,"San Jose, CA
(37.33858102100004, -121.88556652299997)",
"Peoria, IL",2014,50,63,,53,,6,,3,,,-,1,,5,,"Peoria, IL
(40.69214391500003, -89.58775732799995)",
"Paterson, NJ",2014,50,23,,13,,7,,2,,1,,,-,1,,"Paterson, NJ
(40.91661400100003, -74.17163590499996)",
"Los Angeles, CA",2014,50,267,,166,,68,,23,,6,,4,,20,,"Los Angeles, CA
(34.05349148300007, -118.24531979399995)",
"Allentown, PA",2014,50,32,,20,,10,,2,,,-,,-,2,,"Allentown, PA
(40.60260217500007, -75.47025565699994)",
"Tulsa, OK",2014,50,131,,91,,26,,11,,1,,2,,10,,"Tulsa, OK
(36.14974003800006, -95.99332826799997)",
"Schenectady, NY",2014,50,25,,19,,4,,2,,,-,,-,1,,"Schenectady, NY
(42.81225278100004, -73.94101735499999)",
"Utica, NY",2014,50,17,,9,,5,,2,,1,,,-,2,,"Utica, NY
(43.095891280000046, -75.24257574399996)",
"Cambridge, MA",2014,50,21,,18,,3,,,-,,-,,-,1,,"Cambridge, MA
(42.36679362800004, -71.10600609899996)",
"Lynn, MA",2014,50,3,,1,,1,,1,,,-,,-,,-,"Lynn, MA
(42.46370196700008, -70.95021831999998)",
"Austin, TX",2014,50,111,,73,,22,,8,,6,,2,,7,,"Austin, TX
(30.267593273000045, -97.74298658099997)",
"Boise, ID",2014,50,79,,63,,11,,2,,1,,2,,4,,"Boise, ID
(43.60698295900005, -116.19340864899999)",
"Lowell, MA",2014,50,27,,18,,5,,3,,1,,,-,3,,"Lowell, MA
(42.64588413000007, -71.31283991599997)",
"New Orleans, LA",2014,50,68,,40,,17,,3,,6,,2,,2,,"New Orleans, LA
(29.95370148300003, -90.07774950399994)",
"Trenton, NJ",2014,50,19,,13,,6,,,-,,-,,-,,-,"Trenton, NJ
(40.217880783000055, -74.75939889399996)",
"San Diego, CA",2014,50,160,,112,,34,,9,,3,,2,,13,,"San Diego, CA
(32.71569138500007, -117.16171847599998)",
"Pittsburgh, PA§",2014,50,40,,33,,6,,1,,,-,,-,3,,"Pittsburgh, PA
(40.43834080700003, -79.99746842499997)",
"Tacoma, WA",2014,50,141,,108,,26,,4,,3,,,-,9,,"Tacoma, WA
(47.25512977600005, -122.44163579899998)",
"Pueblo, CO",2014,50,29,,25,,2,,1,,1,,,-,3,,"Pueblo, CO
(38.263860486000056, -104.61236870699997)",
"Elizabeth, NJ",2014,50,17,,11,,5,,1,,,-,,-,1,,"Elizabeth, NJ
(40.66381118600003, -74.21143865599998)",
"Phoenix, AZ",2014,50,205,,128,,46,,15,,7,,8,,7,,"Phoenix, AZ
(33.44825227300004, -112.075795659)",
"Shreveport, LA",2014,50,53,,37,,12,,3,,,-,1,,1,,"Shreveport, LA
(32.51461036200004, -93.74726701399999)",
"St. Paul, MN",2014,50,54,,36,,12,,4,,2,,,-,4,,"St. Paul, MN
(44.94382277600005, -93.09331578099994)",
"Miami, FL",2014,50,71,,51,,15,,4,,1,,,-,7,,"Miami, FL
(25.77481279700004, -80.19772698599996)",
"Lansing, MI",2014,50,57,,42,,12,,2,,1,,,-,4,,"Lansing, MI
(42.731940407000025, -84.55224925399995)",
"Scranton, PA",2014,50,17,,16,,1,,,-,,-,,-,,-,"Scranton, PA
(41.41015388100004, -75.66077803699994)",
"Columbus, OH",2014,50,258,,186,,46,,16,,4,,6,,19,,"Columbus, OH
(39.961992622000025, -83.00274724899998)",
"Atlanta, GA",2014,50,102,,61,,27,,8,,2,,4,,2,,"Atlanta, GA
(33.748313352000025, -84.39110879899994)",
"Reading, PA",2014,50,44,,33,,8,,3,,,-,,-,2,,"Reading, PA
(40.33662217300008, -75.92783835499995)",
"Glendale, CA",2014,50,31,,25,,5,,1,,,-,,-,3,,"Glendale, CA
(34.14633196600005, -118.24863631999995)",
"San Francisco, CA",2014,50,134,,85,,38,,9,,1,,1,,15,,"San Francisco, CA
(37.77712259500004, -122.419638255)",
"Washington, D.C.",2014,50,101,,64,,27,,6,,2,,2,,12,,"Washington, D.C.
(38.89037258400003, -77.03195678499998)",
"Baton Rouge, LA",2014,50,112,,71,,27,,9,,1,,4,,4,,"Baton Rouge, LA
(30.44334244500004, -91.18698943099997)",
"Rockford, IL",2014,50,74,,56,,13,,3,,1,,1,,6,,"Rockford, IL
(42.26690219500006, -89.07834613999995)",
"Springfield, MA",2014,50,35,,27,,2,,3,,3,,,-,2,,"Springfield, MA
(42.10125375500007, -72.58928873999997)",
"Syracuse, NY",2014,50,141,,110,,23,,5,,3,,,-,8,,"Syracuse, NY
(43.04999341400003, -76.14738700099997)",
